op	typeLeft	typeRight	typeOut
+	float	float	float
-	float	float	float
*	float	float	float
/	float	float	float
^	float	float	float
!		float	float
+		float	float
-		float	float
&&	bool	bool	bool
==	float	float	bool
||	bool	bool	bool
!=	float	float	bool
<=	float	float	bool
<	float	float	bool
>=	float	float	bool
>	float	float	bool
!		bool	bool
